Space cost (bytes),# TPG edges,# Upper-bound edges,# TSPG edges
1.34235e+06,7,7,7
1.34198e+06,5,5,5
1.34268e+06,9,9,9
1.34181e+06,3,3,3
1.34256e+06,8,6,6
1.34183e+06,3,3,3
1.3431e+06,13,13,13
1.34311e+06,13,13,13
1.34346e+06,16,16,16
1.34413e+06,19,19,19
1.34329e+06,12,12,12
1.35024e+06,65,55,55
1.34373e+06,16,14,14
1.34158e+06,1,1,1
1.34331e+06,15,13,13
1.34289e+06,10,10,10
1.34308e+06,10,10,10
1.34254e+06,8,8,8
1.34263e+06,10,8,8
1.34158e+06,1,1,1
1.34291e+06,10,10,10
1.34674e+06,35,35,35
1.3598e+06,149,118,118
1.34463e+06,25,19,19
1.3435e+06,13,13,13
1.34252e+06,7,7,7
1.34573e+06,30,30,30
1.34258e+06,7,7,7
1.34437e+06,21,21,21
1.34235e+06,6,6,6
1.34357e+06,14,14,14
1.34174e+06,2,2,2
1.34237e+06,6,6,6
1.34256e+06,8,8,8
1.34157e+06,1,1,1
1.34258e+06,7,7,7
1.34232e+06,6,6,6
1.34235e+06,6,6,6
1.34669e+06,40,40,40
1.34248e+06,7,7,7
1.3461e+06,41,38,38
1.34276e+06,10,10,10
1.35501e+06,95,92,92
1.34295e+06,11,11,11
1.36163e+06,163,124,124
1.34184e+06,3,3,3
1.34203e+06,4,4,4
1.34158e+06,1,1,1
1.34256e+06,10,6,6
1.34231e+06,6,6,6
1.34338e+06,12,12,12
1.36319e+06,184,112,112
1.3436e+06,13,13,13
1.34536e+06,25,25,25
1.35763e+06,121,108,108
1.34213e+06,5,5,5
1.34168e+06,2,2,2
1.34437e+06,23,18,18
1.34856e+06,55,45,45
1.34456e+06,22,22,22
1.34183e+06,3,3,3
1.34469e+06,24,24,24
1.34274e+06,9,9,9
1.34933e+06,63,40,40
1.36991e+06,269,170,170
1.34511e+06,24,24,24
1.34207e+06,4,4,4
1.34238e+06,6,6,6
1.34814e+06,53,40,40
1.34296e+06,11,11,11
1.34415e+06,20,20,20
1.34227e+06,6,6,6
1.34456e+06,30,18,18
1.34904e+06,60,52,52
1.3435e+06,14,14,14
1.34259e+06,8,8,8
1.34172e+06,2,2,2
1.34224e+06,5,5,5
1.3468e+06,43,34,34
1.34157e+06,1,1,1
1.34619e+06,36,36,36
1.34157e+06,1,1,1
1.34802e+06,52,50,50
1.35031e+06,88,53,53
1.34328e+06,12,12,12
1.34286e+06,8,8,8
1.34191e+06,3,3,3
1.34487e+06,32,17,17
1.34637e+06,38,31,31
1.34255e+06,10,7,7
1.34374e+06,16,16,16
1.35029e+06,86,44,44
1.35107e+06,91,58,58
1.34274e+06,9,9,9
1.37979e+06,350,255,240
1.34157e+06,1,1,1
1.34212e+06,5,5,5
1.35266e+06,89,63,63
1.34173e+06,2,2,2
1.34515e+06,26,24,24
1.34709e+06,45,33,33
1.34184e+06,3,3,3
1.34158e+06,1,1,1
1.35778e+06,117,107,107
1.34445e+06,24,24,24
1.34271e+06,10,10,10
1.34157e+06,1,1,1
1.34434e+06,21,21,21
1.34466e+06,21,21,21
1.36005e+06,152,131,131
1.37888e+06,315,261,259
1.34178e+06,3,3,3
1.37038e+06,227,180,180
1.34307e+06,11,11,11
1.3529e+06,84,81,81
1.34322e+06,11,11,11
1.34859e+06,53,53,53
1.35563e+06,104,91,91
1.34159e+06,1,1,1
1.3426e+06,8,8,8
1.34721e+06,44,40,40
1.38539e+06,390,290,288
1.34267e+06,9,7,7
1.34292e+06,11,11,11
1.34244e+06,6,6,6
1.34275e+06,8,8,8
1.34459e+06,24,24,24
1.34916e+06,55,50,50
1.35274e+06,94,92,92
1.34157e+06,1,1,1
1.34157e+06,1,1,1
1.34545e+06,30,25,25
1.3568e+06,131,114,114
1.3515e+06,84,71,71
1.34898e+06,62,49,49
1.34206e+06,4,4,4
1.34157e+06,1,1,1
1.34375e+06,17,17,17
1.34305e+06,11,11,11
1.34266e+06,10,10,10
1.34293e+06,10,10,10
1.34408e+06,19,16,16
1.34189e+06,4,4,4
1.34168e+06,2,2,2
1.34224e+06,5,5,5
1.34194e+06,4,4,4
1.35026e+06,69,55,55
1.34471e+06,32,11,11
1.34312e+06,11,11,11
1.34562e+06,28,27,27
1.34243e+06,11,3,3
1.3417e+06,2,2,2
1.34274e+06,11,7,7
1.42668e+06,744,626,614
1.34224e+06,5,5,5
1.34157e+06,1,1,1
1.34288e+06,12,12,12
