Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.6021e+08,94,90,90
1.60195e+08,1,1,1
1.60196e+08,2,2,2
1.60195e+08,1,1,1
1.60227e+08,213,192,192
1.60196e+08,6,6,6
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60337e+08,998,838,838
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60196e+08,2,2,2
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.6079e+08,4317,3788,3788
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60205e+08,62,62,62
1.60196e+08,7,7,7
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60196e+08,7,7,7
1.60195e+08,1,1,1
1.60196e+08,2,2,2
1.60195e+08,1,1,1
1.60207e+08,71,71,71
1.60195e+08,1,1,1
1.60225e+08,190,188,188
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60198e+08,20,20,20
1.60195e+08,1,1,1
1.60356e+08,1298,679,679
1.60211e+08,146,49,49
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60196e+08,4,4,4
1.60195e+08,1,1,1
1.60196e+08,6,6,6
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60196e+08,3,3,3
1.60196e+08,4,4,4
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60383e+08,1376,1232,1232
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60198e+08,15,15,15
1.60196e+08,5,5,5
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60202e+08,40,40,40
1.60196e+08,3,3,3
1.60195e+08,1,1,1
1.60699e+08,4009,2812,2812
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60197e+08,10,10,10
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60196e+08,4,4,4
1.60195e+08,1,1,1
1.60197e+08,8,8,8
1.60195e+08,1,1,1
1.62528e+08,19077,18316,18316
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60196e+08,6,6,6
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60247e+08,344,281,281
1.60195e+08,1,1,1
1.60196e+08,7,7,7
1.60196e+08,4,4,4
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.6021e+08,106,83,83
1.60195e+08,1,1,1
1.60198e+08,21,13,13
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60201e+08,33,33,33
1.60197e+08,8,8,8
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60196e+08,2,2,2
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.61122e+08,7127,6786,6785
1.60196e+08,7,7,7
1.60207e+08,97,40,40
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60201e+08,46,20,20
1.61424e+08,9382,8900,8900
1.60195e+08,1,1,1
1.60196e+08,2,2,2
1.60196e+08,2,2,2
1.60195e+08,1,1,1
1.60196e+08,5,5,5
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60198e+08,19,15,15
1.60195e+08,1,1,1
1.60196e+08,2,2,2
1.60196e+08,2,2,2
1.60196e+08,3,3,3
1.60195e+08,1,1,1
1.60228e+08,207,202,202
1.60196e+08,2,2,2
1.60195e+08,1,1,1
1.60197e+08,8,8,8
1.60195e+08,1,1,1
1.60196e+08,2,2,2
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
1.60195e+08,1,1,1
