Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.00437e+07,19,13,13
1.00588e+07,200,14,14
1.01008e+07,690,193,192
1.00558e+07,125,50,50
1.01052e+07,624,159,159
1.01436e+07,986,365,363
1.00555e+07,137,53,53
1.00437e+07,34,4,4
1.0124e+07,909,305,302
1.01644e+07,1380,458,458
1.00436e+07,24,8,8
1.00609e+07,213,51,51
1.00559e+07,145,55,55
1.01661e+07,1380,525,512
1.00898e+07,541,134,133
1.01277e+07,911,323,312
1.00596e+07,178,85,85
1.01113e+07,727,218,212
1.00632e+07,239,77,77
1.00704e+07,313,104,104
1.00434e+07,17,14,14
1.00425e+07,15,5,5
1.02211e+07,1949,804,797
1.00574e+07,207,35,35
1.00513e+07,127,10,10
1.0059e+07,200,51,51
1.01063e+07,752,213,186
1.00434e+07,24,8,8
1.00563e+07,174,41,41
1.00725e+07,346,92,92
1.00508e+07,121,31,31
1.00501e+07,81,39,39
1.00444e+07,27,19,19
1.00587e+07,180,50,50
1.00483e+07,60,40,40
1.00469e+07,60,18,18
1.01446e+07,1033,409,407
1.01625e+07,1305,461,453
1.00501e+07,85,47,47
1.00435e+07,24,12,12
1.01029e+07,635,220,219
1.00432e+07,15,10,10
1.00468e+07,60,13,13
1.00487e+07,102,7,7
1.00913e+07,524,226,226
1.00445e+07,41,6,6
1.00484e+07,90,8,8
1.00441e+07,40,5,5
1.01088e+07,812,193,181
1.0184e+07,1550,660,660
1.00852e+07,434,209,209
1.00551e+07,139,35,34
1.00639e+07,245,56,53
1.00482e+07,85,18,18
1.02211e+07,1949,804,797
1.01362e+07,988,272,247
1.00475e+07,52,36,36
1.00612e+07,187,78,78
1.00604e+07,245,53,53
1.00613e+07,188,55,55
1.00718e+07,308,114,114
1.00712e+07,361,88,84
1.00444e+07,32,13,13
1.00497e+07,73,33,33
1.00438e+07,18,14,14
1.02211e+07,1949,804,797
1.01498e+07,1283,353,341
1.0042e+07,5,5,5
1.01292e+07,946,317,315
1.00487e+07,77,20,20
1.00599e+07,196,63,63
1.00647e+07,271,64,64
1.00457e+07,45,13,13
1.00424e+07,11,7,7
1.00438e+07,29,8,8
1.00526e+07,107,43,43
1.0042e+07,6,5,5
1.01257e+07,813,365,364
1.00417e+07,6,2,2
1.00722e+07,346,113,113
1.00736e+07,363,100,100
1.00426e+07,17,3,3
1.00868e+07,506,141,141
1.00417e+07,4,4,4
1.01011e+07,561,211,209
1.00671e+07,305,30,30
1.00606e+07,225,40,40
1.00507e+07,122,15,15
