Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
3.08933e+06,1,1,1
3.09088e+06,13,10,10
3.08935e+06,1,1,1
3.09113e+06,16,9,9
3.08945e+06,2,2,2
3.09072e+06,9,8,8
3.08952e+06,2,2,2
3.09007e+06,9,3,3
3.0903e+06,8,6,6
3.09041e+06,12,6,6
3.08966e+06,3,3,3
3.11137e+06,182,134,134
3.09058e+06,10,9,9
3.09409e+06,39,28,28
3.09369e+06,52,9,9
3.09389e+06,36,25,25
3.08935e+06,1,1,1
3.11666e+06,256,141,141
3.08935e+06,1,1,1
3.08935e+06,1,1,1
3.08935e+06,1,1,1
3.08935e+06,1,1,1
3.09366e+06,45,13,13
3.08936e+06,1,1,1
3.08936e+06,1,1,1
3.0914e+06,18,10,10
3.0895e+06,2,2,2
3.09028e+06,9,6,6
3.08946e+06,2,2,2
3.08935e+06,1,1,1
3.08991e+06,5,4,4
3.08988e+06,8,2,2
3.08946e+06,2,2,2
3.08935e+06,1,1,1
3.08935e+06,1,1,1
3.09112e+06,17,9,9
3.09234e+06,30,18,18
3.08934e+06,1,1,1
3.0895e+06,2,2,2
3.08934e+06,1,1,1
3.09013e+06,9,4,4
3.08934e+06,1,1,1
3.09096e+06,16,12,12
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.0903e+06,10,5,5
3.09046e+06,13,4,4
3.08986e+06,6,3,3
3.09104e+06,20,5,5
3.09103e+06,15,7,7
3.08935e+06,1,1,1
3.08961e+06,3,3,3
3.08935e+06,1,1,1
3.09022e+06,11,3,3
3.08946e+06,2,2,2
3.08935e+06,1,1,1
3.09064e+06,14,11,11
3.15116e+06,482,310,310
3.0903e+06,7,7,7
3.08966e+06,3,3,3
3.08966e+06,3,3,3
3.08978e+06,5,5,5
3.0896e+06,3,3,3
3.0896e+06,3,3,3
3.09e+06,6,5,5
3.1344e+06,383,247,247
3.09646e+06,61,31,31
3.08935e+06,1,1,1
3.10278e+06,100,79,79
3.0895e+06,2,2,2
3.09079e+06,15,6,6
3.09748e+06,96,24,24
3.08955e+06,3,2,2
3.0899e+06,5,4,4
3.08966e+06,3,3,3
3.09066e+06,13,8,8
3.08945e+06,2,2,2
3.09026e+06,11,3,3
3.09228e+06,25,16,16
3.09159e+06,23,11,11
3.09628e+06,59,37,37
3.10119e+06,119,54,54
3.08934e+06,1,1,1
3.0896e+06,3,3,3
3.09024e+06,10,5,5
3.08992e+06,6,4,4
3.09849e+06,74,42,42
3.09855e+06,71,58,58
3.08985e+06,4,4,4
3.09073e+06,11,8,8
3.17205e+06,710,507,507
3.08935e+06,1,1,1
3.08935e+06,1,1,1
3.08972e+06,4,4,4
3.15388e+06,534,372,364
3.08962e+06,3,3,3
3.08936e+06,1,1,1
3.08951e+06,2,2,2
3.08947e+06,2,2,2
3.08936e+06,1,1,1
3.08974e+06,4,3,3
3.09039e+06,12,4,4
3.08981e+06,5,3,3
3.093e+06,38,18,18
3.08976e+06,6,2,2
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.09321e+06,29,16,16
3.09452e+06,41,29,29
3.08955e+06,3,2,2
3.09139e+06,20,10,10
3.09147e+06,15,12,12
3.08938e+06,1,1,1
3.1114e+06,174,118,118
3.1006e+06,88,66,66
3.23084e+06,1334,954,954
3.09101e+06,12,11,11
3.08998e+06,6,5,5
3.08957e+06,3,2,2
3.08979e+06,4,4,4
3.08936e+06,1,1,1
3.09059e+06,11,7,7
3.08982e+06,6,4,4
3.09084e+06,13,8,8
3.08935e+06,1,1,1
3.18128e+06,841,558,549
3.09326e+06,39,16,16
3.08935e+06,1,1,1
3.09011e+06,6,6,6
3.08934e+06,1,1,1
3.11285e+06,190,132,132
3.09042e+06,9,7,7
3.09849e+06,96,35,35
3.0895e+06,2,2,2
3.0903e+06,14,2,2
3.0905e+06,14,5,5
3.09018e+06,8,5,5
3.09039e+06,13,3,3
3.0895e+06,2,2,2
3.08984e+06,4,4,4
3.09287e+06,35,18,18
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.08966e+06,5,2,2
3.08934e+06,1,1,1
3.0895e+06,2,2,2
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.09007e+06,6,6,6
3.08945e+06,2,2,2
3.09054e+06,9,9,9
3.09726e+06,66,38,38
3.08938e+06,1,1,1
3.08958e+06,3,2,2
3.10345e+06,124,65,65
3.08937e+06,1,1,1
3.08937e+06,1,1,1
3.08937e+06,1,1,1
3.08937e+06,1,1,1
3.08952e+06,2,2,2
3.08967e+06,4,2,2
3.09228e+06,40,6,6
3.08963e+06,3,3,3
3.09005e+06,8,3,3
3.09266e+06,30,15,15
3.08936e+06,1,1,1
3.08958e+06,3,3,3
3.09084e+06,10,9,9
3.0905e+06,10,10,10
3.099e+06,81,44,44
3.09198e+06,20,19,19
3.08968e+06,4,3,3
3.08987e+06,5,4,4
3.09095e+06,13,12,12
3.09165e+06,20,8,8
3.08936e+06,1,1,1
3.09092e+06,15,8,8
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.09257e+06,25,17,17
3.08935e+06,1,1,1
3.09155e+06,20,11,11
3.08934e+06,1,1,1
3.09016e+06,7,6,6
3.0896e+06,3,3,3
3.0982e+06,72,41,41
3.09088e+06,14,9,9
3.08979e+06,4,4,4
3.08966e+06,3,3,3
3.11248e+06,208,135,135
3.08934e+06,1,1,1
3.09103e+06,15,8,8
3.08972e+06,4,4,4
3.08946e+06,2,2,2
3.08968e+06,4,4,4
3.09967e+06,90,57,57
3.08998e+06,8,3,3
3.08934e+06,1,1,1
3.09003e+06,6,5,5
3.09153e+06,20,10,10
3.08935e+06,1,1,1
3.08935e+06,1,1,1
3.09294e+06,43,2,2
3.08935e+06,1,1,1
3.08935e+06,1,1,1
3.08935e+06,1,1,1
3.09017e+06,7,5,5
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.09023e+06,8,6,6
3.09112e+06,15,10,10
3.09101e+06,24,3,3
3.09092e+06,13,11,11
3.09093e+06,14,9,9
3.08935e+06,1,1,1
3.09078e+06,17,8,8
3.1051e+06,125,73,73
3.08938e+06,1,1,1
3.08938e+06,1,1,1
3.09108e+06,16,7,7
3.08935e+06,1,1,1
3.08974e+06,4,3,3
3.11702e+06,234,155,155
3.08936e+06,1,1,1
3.08936e+06,1,1,1
3.11921e+06,257,150,149
3.08996e+06,6,5,5
3.09307e+06,41,9,9
3.09121e+06,28,3,3
3.15133e+06,507,330,330
3.08936e+06,1,1,1
3.08951e+06,2,2,2
3.09358e+06,36,22,22
3.0899e+06,6,4,4
3.0921e+06,24,13,13
3.08935e+06,1,1,1
3.15516e+06,542,363,363
3.1468e+06,524,312,312
3.09039e+06,10,6,6
3.08976e+06,4,3,3
3.09006e+06,6,5,5
3.08986e+06,4,4,4
3.08992e+06,6,6,6
3.09184e+06,22,15,15
3.11971e+06,267,124,124
3.08952e+06,2,2,2
3.08937e+06,1,1,1
3.09024e+06,14,2,2
3.09015e+06,6,6,6
3.0927e+06,32,14,14
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.0895e+06,2,2,2
3.08971e+06,4,4,4
3.09215e+06,32,8,8
3.08985e+06,5,4,4
3.08978e+06,5,4,4
3.08936e+06,1,1,1
3.09134e+06,15,11,11
3.08936e+06,1,1,1
3.09533e+06,47,32,32
3.0898e+06,4,4,4
3.08986e+06,4,4,4
3.08938e+06,1,1,1
3.09066e+06,11,10,10
3.09046e+06,10,7,7
3.09349e+06,33,27,27
3.08967e+06,5,2,2
3.11438e+06,215,129,129
3.08936e+06,1,1,1
3.08958e+06,3,3,3
3.2499e+06,2167,27,25
3.10997e+06,177,117,117
3.08991e+06,5,4,4
3.08961e+06,3,3,3
3.08935e+06,1,1,1
3.09878e+06,101,36,36
3.08935e+06,1,1,1
3.09732e+06,57,45,45
3.09049e+06,10,7,7
3.09099e+06,15,11,11
3.08934e+06,1,1,1
3.09007e+06,8,5,5
3.08934e+06,1,1,1
3.09057e+06,11,8,8
3.08934e+06,1,1,1
3.09072e+06,11,10,10
3.08945e+06,2,2,2
3.09039e+06,9,9,9
3.09181e+06,23,15,15
3.0904e+06,12,5,5
3.09117e+06,15,12,12
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.08996e+06,5,5,5
3.09265e+06,26,16,16
3.09027e+06,10,6,6
3.09009e+06,6,5,5
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.2499e+06,2167,27,25
3.09371e+06,35,23,23
3.08988e+06,8,2,2
3.09065e+06,12,7,7
3.08982e+06,5,5,5
3.09205e+06,23,12,12
3.09208e+06,31,12,12
3.08952e+06,2,2,2
3.08937e+06,1,1,1
3.08937e+06,1,1,1
3.08974e+06,6,2,2
3.09153e+06,19,10,10
3.09129e+06,19,9,9
3.08934e+06,1,1,1
3.09024e+06,9,5,5
3.08934e+06,1,1,1
3.08934e+06,1,1,1
3.09406e+06,43,24,24
3.09189e+06,18,18,18
3.08946e+06,2,2,2
3.14242e+06,496,319,317
3.08951e+06,2,2,2
3.09075e+06,14,8,8
3.08936e+06,1,1,1
3.09792e+06,98,25,25
3.09044e+06,11,6,6
3.08983e+06,4,4,4
3.08934e+06,1,1,1
3.1041e+06,137,70,70
3.08967e+06,3,3,3
3.09005e+06,10,3,3
3.0895e+06,2,2,2
3.08935e+06,1,1,1
3.0895e+06,2,2,2
3.09222e+06,22,14,14
3.09207e+06,18,16,16
3.08936e+06,1,1,1
3.08936e+06,1,1,1
3.09173e+06,18,14,14
3.08935e+06,1,1,1
3.08935e+06,1,1,1
3.09028e+06,8,6,6
3.09012e+06,6,6,6
3.12946e+06,340,235,233
3.09464e+06,43,28,28
3.08937e+06,1,1,1
3.08974e+06,4,4,4
3.09024e+06,7,7,7
3.09005e+06,8,4,4
3.08937e+06,1,1,1
3.09097e+06,12,9,9
3.13827e+06,400,274,274
3.08938e+06,1,1,1
3.1035e+06,117,94,94
3.08935e+06,1,1,1
3.09004e+06,7,4,4
3.08991e+06,5,4,4
3.08961e+06,3,3,3
3.0895e+06,2,2,2
3.09135e+06,23,9,9
3.10333e+06,114,71,71
3.08937e+06,1,1,1
3.08963e+06,3,3,3
3.0898e+06,4,4,4
3.08969e+06,3,3,3
3.08937e+06,1,1,1
3.14154e+06,457,297,297
3.08968e+06,3,3,3
3.08936e+06,1,1,1
3.08997e+06,7,4,4
3.08936e+06,1,1,1
3.09172e+06,19,13,13
