Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.25836e+07,19,13,13
1.25916e+07,125,17,17
1.25985e+07,157,66,66
1.26166e+07,322,147,147
1.26212e+07,348,167,167
1.25827e+07,12,7,7
1.25907e+07,94,36,36
1.2614e+07,363,64,64
1.25851e+07,42,13,13
1.25933e+07,122,31,31
1.25884e+07,78,25,25
1.26114e+07,296,108,108
1.25869e+07,49,26,26
1.25875e+07,59,23,23
1.26056e+07,214,89,89
1.25928e+07,113,40,40
1.26001e+07,166,80,79
1.25927e+07,111,38,38
1.25823e+07,11,4,4
1.25856e+07,36,19,19
1.25996e+07,164,90,90
1.26119e+07,295,131,129
1.2582e+07,6,4,4
1.2588e+07,61,24,24
1.25944e+07,136,30,30
1.25829e+07,14,6,6
1.25854e+07,35,21,21
1.25824e+07,10,6,6
1.25819e+07,5,5,5
1.25946e+07,140,43,42
1.25819e+07,8,4,4
1.2583e+07,16,6,6
1.25855e+07,34,17,17
1.25833e+07,20,7,7
1.25821e+07,12,3,3
1.25823e+07,7,6,6
1.25824e+07,13,4,4
1.25959e+07,135,54,54
1.25931e+07,130,38,38
1.25867e+07,45,22,22
1.25866e+07,44,20,20
1.25861e+07,47,20,20
1.25836e+07,24,10,10
1.25874e+07,50,30,30
1.25819e+07,5,4,4
1.25905e+07,104,31,31
1.25926e+07,103,47,47
1.25987e+07,171,55,55
1.25861e+07,49,17,17
1.25819e+07,7,4,4
1.25829e+07,19,7,7
1.25858e+07,31,23,23
1.2584e+07,26,11,11
1.25896e+07,78,35,35
1.25826e+07,18,2,2
1.25825e+07,13,5,5
1.25826e+07,11,6,6
1.26006e+07,179,82,80
1.25871e+07,48,31,31
1.25827e+07,9,8,8
1.25822e+07,7,6,6
1.26157e+07,279,190,190
1.26037e+07,189,84,84
1.25821e+07,6,5,5
1.25839e+07,24,9,9
1.25829e+07,10,10,10
1.25889e+07,66,30,30
1.25821e+07,6,6,6
1.25817e+07,4,3,3
1.25948e+07,137,48,48
1.25827e+07,14,5,5
1.25869e+07,53,20,20
1.25869e+07,56,20,20
1.25991e+07,173,72,72
1.26741e+07,837,521,519
1.25825e+07,10,6,6
1.25826e+07,9,9,9
1.26132e+07,294,127,127
1.25907e+07,81,35,35
1.25857e+07,44,12,12
1.25843e+07,30,9,9
1.25841e+07,26,13,13
1.25816e+07,3,3,3
1.2586e+07,43,23,23
1.25835e+07,16,12,12
1.25897e+07,71,45,45
1.25819e+07,8,4,4
1.25845e+07,26,16,16
1.25848e+07,31,15,15
1.2633e+07,495,208,207
1.2585e+07,43,10,10
1.25911e+07,88,43,43
1.25882e+07,62,26,26
1.25925e+07,112,45,45
1.26201e+07,396,122,121
1.25837e+07,25,8,8
1.25813e+07,1,1,1
1.25828e+07,12,8,8
1.25823e+07,12,3,3
1.25836e+07,16,11,11
1.25934e+07,110,42,42
1.25861e+07,50,15,15
1.25936e+07,109,47,47
1.27612e+07,1715,1046,1046
1.25901e+07,64,41,41
1.26038e+07,213,64,62
1.25831e+07,17,7,7
1.25876e+07,68,15,15
1.25877e+07,76,14,14
1.25822e+07,7,7,7
1.25832e+07,20,5,5
1.25829e+07,14,8,8
1.25844e+07,38,6,6
1.25831e+07,14,9,9
1.25849e+07,29,24,24
1.25827e+07,12,7,7
1.25826e+07,12,7,7
1.25862e+07,39,24,24
1.25837e+07,29,11,11
1.26077e+07,233,113,113
1.25824e+07,10,5,5
1.25912e+07,86,38,38
1.25993e+07,173,77,77
1.25894e+07,75,30,30
1.25994e+07,186,55,55
1.26105e+07,273,110,110
1.26046e+07,215,93,93
1.25867e+07,58,16,16
1.25851e+07,35,21,21
1.26067e+07,231,116,116
1.25834e+07,17,11,11
1.25858e+07,45,15,15
1.2583e+07,11,11,11
1.2582e+07,5,5,5
1.25851e+07,42,12,12
1.2586e+07,43,18,18
1.25827e+07,14,6,6
1.26092e+07,245,125,125
1.25858e+07,42,20,20
1.25877e+07,75,11,11
1.2585e+07,42,10,10
1.25849e+07,35,17,17
1.2596e+07,119,66,66
1.25891e+07,90,14,14
1.26399e+07,545,254,253
1.25823e+07,9,8,8
1.25848e+07,27,21,21
1.25898e+07,85,30,30
1.25957e+07,140,53,53
1.25815e+07,2,2,2
1.25889e+07,79,26,26
1.25822e+07,13,2,2
1.25867e+07,46,19,19
1.25949e+07,152,33,33
1.25833e+07,13,13,13
1.26239e+07,389,172,172
1.25849e+07,28,16,16
1.25868e+07,82,2,2
1.26336e+07,509,173,171
1.25829e+07,21,4,4
1.25843e+07,32,8,8
1.25842e+07,23,15,15
1.25849e+07,31,11,11
1.25899e+07,73,35,35
1.26057e+07,235,77,77
1.25822e+07,6,6,6
1.26687e+07,857,414,409
1.2583e+07,14,10,10
1.26137e+07,274,131,131
1.2585e+07,25,18,18
1.25978e+07,165,64,64
1.25839e+07,24,8,8
1.25893e+07,68,32,32
1.25839e+07,27,8,8
1.26019e+07,181,97,97
1.25986e+07,145,85,85
1.25816e+07,4,2,2
1.25824e+07,11,5,5
1.25879e+07,60,23,23
1.2592e+07,88,44,44
1.25821e+07,6,6,6
1.25868e+07,52,21,21
1.25836e+07,24,7,7
1.25872e+07,60,22,22
1.25918e+07,79,52,52
1.25964e+07,135,61,61
1.25915e+07,102,43,43
1.2597e+07,159,48,43
1.25823e+07,11,5,5
1.26037e+07,210,92,92
1.25949e+07,116,64,64
1.25836e+07,15,12,12
1.25965e+07,117,77,76
1.25876e+07,66,21,21
1.26089e+07,270,112,111
1.25907e+07,89,32,32
1.2644e+07,579,278,277
1.26127e+07,314,121,121
1.25832e+07,14,10,10
1.25885e+07,67,33,33
1.26501e+07,558,363,363
1.27612e+07,1715,1046,1046
1.25897e+07,88,35,35
1.25854e+07,42,14,14
1.25839e+07,29,10,10
1.2605e+07,225,94,94
1.25829e+07,16,7,7
1.26049e+07,209,90,90
1.2583e+07,10,10,10
1.25852e+07,44,8,8
1.26346e+07,484,258,258
1.26015e+07,194,62,62
1.25825e+07,11,7,7
1.25839e+07,27,9,9
1.25829e+07,15,6,6
1.25822e+07,8,5,5
1.25827e+07,11,7,7
1.2583e+07,19,5,5
1.25976e+07,154,64,63
1.25919e+07,98,48,48
1.25829e+07,15,6,6
1.26145e+07,304,137,137
1.25829e+07,17,6,6
1.26286e+07,427,215,214
1.25844e+07,30,11,11
1.261e+07,239,143,143
1.25821e+07,6,5,5
1.25876e+07,64,28,28
1.26143e+07,282,168,168
1.25931e+07,117,43,43
1.26178e+07,326,216,216
1.25826e+07,13,6,6
1.25884e+07,59,33,33
1.25843e+07,40,4,4
1.25883e+07,84,15,15
1.2595e+07,127,40,39
1.25845e+07,26,14,14
1.26246e+07,392,171,169
1.25912e+07,75,53,53
1.25838e+07,23,8,8
1.25815e+07,2,2,2
