Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
4.5017e+07,24,10,10
4.50855e+07,619,295,295
4.50146e+07,1,1,1
4.50363e+07,202,66,66
4.51529e+07,1307,619,616
4.50195e+07,47,22,22
4.50146e+07,2,2,2
4.50151e+07,8,4,4
4.50145e+07,1,1,1
4.50172e+07,22,12,12
4.53417e+07,3057,1433,1402
4.53447e+07,2859,1630,1626
4.50156e+07,9,6,6
4.50195e+07,35,28,28
4.50146e+07,2,2,2
4.50158e+07,11,9,9
4.50711e+07,461,249,249
4.50244e+07,78,46,46
4.50146e+07,1,1,1
4.50254e+07,93,39,39
4.50146e+07,1,1,1
4.50147e+07,2,2,2
4.5023e+07,82,32,32
4.50395e+07,248,93,93
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50257e+07,92,54,54
4.50247e+07,70,50,50
4.50175e+07,23,22,22
4.50187e+07,38,20,20
4.56584e+07,5924,3250,3243
4.5015e+07,5,5,5
4.50157e+07,10,7,7
4.50145e+07,1,1,1
4.50239e+07,59,50,50
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50249e+07,92,31,31
4.50856e+07,697,293,291
4.51398e+07,982,573,573
4.50291e+07,126,44,44
4.50147e+07,2,2,2
4.50146e+07,1,1,1
4.50153e+07,6,6,6
4.50146e+07,1,1,1
4.5075e+07,505,310,310
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.5081e+07,731,180,179
4.50321e+07,125,77,77
4.5017e+07,24,10,10
4.50151e+07,6,4,4
4.50149e+07,4,4,4
4.5021e+07,68,14,14
4.51135e+07,781,419,419
4.50164e+07,14,13,13
4.53503e+07,2925,1414,1409
4.50299e+07,140,59,59
4.50497e+07,328,118,118
4.50382e+07,198,123,123
4.50301e+07,140,59,59
4.5015e+07,4,4,4
4.58691e+07,7521,4260,4260
4.51014e+07,739,420,420
4.50148e+07,3,2,2
4.50149e+07,4,4,4
4.50186e+07,34,16,16
4.50154e+07,7,6,6
4.50146e+07,1,1,1
4.50199e+07,40,32,32
4.50522e+07,344,159,159
4.50146e+07,1,1,1
4.50149e+07,3,3,3
4.50146e+07,1,1,1
4.50372e+07,207,92,89
4.50145e+07,1,1,1
4.50206e+07,51,28,28
4.50148e+07,4,2,2
4.50279e+07,100,74,74
4.50252e+07,89,39,39
4.50252e+07,83,54,54
4.50213e+07,50,35,35
4.50145e+07,1,1,1
4.5017e+07,24,10,10
4.50187e+07,38,18,18
4.5017e+07,18,13,13
4.50151e+07,6,6,6
4.50308e+07,125,68,68
4.50259e+07,106,59,59
4.50167e+07,19,15,15
4.50182e+07,24,22,22
4.53846e+07,3280,1891,1886
4.50148e+07,3,3,3
4.50178e+07,27,17,17
4.52007e+07,2175,538,528
4.51723e+07,1255,724,724
4.50149e+07,4,4,4
4.50147e+07,2,2,2
4.50147e+07,2,2,2
4.53776e+07,3182,1636,1636
4.50146e+07,1,1,1
4.5315e+07,2875,1183,1175
4.50146e+07,1,1,1
4.50257e+07,108,38,37
4.50358e+07,175,91,91
4.5103e+07,761,429,429
4.50438e+07,303,86,86
4.50146e+07,1,1,1
4.5016e+07,21,3,3
4.51313e+07,1001,447,447
4.51861e+07,1546,710,710
4.50325e+07,166,62,62
4.50156e+07,8,8,8
4.50154e+07,8,8,8
4.50181e+07,38,14,14
4.50145e+07,1,1,1
4.51152e+07,951,383,383
4.50159e+07,10,9,9
4.50292e+07,134,59,59
4.52705e+07,2301,1098,1088
4.50174e+07,21,18,18
4.50298e+07,122,76,76
4.50166e+07,13,13,13
4.50379e+07,197,91,91
4.50518e+07,342,125,125
4.50146e+07,1,1,1
4.50434e+07,261,128,128
4.5036e+07,171,99,99
4.50162e+07,16,11,11
4.50177e+07,30,14,14
4.50216e+07,67,24,24
4.50157e+07,10,8,8
4.50615e+07,439,175,175
4.50475e+07,414,30,30
4.50145e+07,1,1,1
4.50479e+07,291,132,132
4.50161e+07,13,12,12
4.5156e+07,1174,551,550
4.52272e+07,1870,928,921
4.50661e+07,434,249,249
4.50913e+07,677,298,298
4.50187e+07,36,18,18
4.50145e+07,1,1,1
4.50383e+07,297,21,21
4.50164e+07,18,9,9
4.50145e+07,1,1,1
4.5083e+07,694,237,237
4.51634e+07,1238,671,665
4.50145e+07,1,1,1
4.50928e+07,988,102,102
4.5543e+07,4418,2487,2482
4.50186e+07,34,17,17
4.50176e+07,24,14,14
4.50145e+07,1,1,1
4.50147e+07,2,2,2
4.50568e+07,344,184,184
4.50392e+07,204,106,106
4.50387e+07,286,58,58
4.50226e+07,67,37,37
4.5029e+07,112,54,54
4.50199e+07,46,17,17
4.50701e+07,481,253,253
4.53755e+07,3376,1523,1511
4.50151e+07,5,5,5
4.50285e+07,102,65,65
4.50147e+07,2,2,2
4.50146e+07,1,1,1
4.50179e+07,35,14,14
4.50423e+07,276,113,113
4.53193e+07,2645,1212,1207
4.50147e+07,2,2,2
4.5029e+07,149,30,30
4.50474e+07,293,116,116
4.50246e+07,81,51,51
4.50148e+07,3,3,3
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50173e+07,20,13,13
4.50223e+07,63,35,35
4.54485e+07,4102,2288,2268
4.50187e+07,30,24,24
4.50171e+07,19,16,16
4.52563e+07,2215,1032,1016
4.50146e+07,1,1,1
4.50517e+07,309,153,153
4.52722e+07,2251,1100,1100
4.50146e+07,2,2,2
4.50764e+07,565,246,246
4.5018e+07,38,13,13
4.50765e+07,563,309,309
4.50177e+07,23,18,18
4.50149e+07,6,2,2
4.50411e+07,204,138,138
4.50179e+07,32,15,15
4.50145e+07,1,1,1
4.50151e+07,6,6,6
4.50173e+07,25,13,13
4.50158e+07,11,6,6
4.52137e+07,1772,789,788
4.50158e+07,10,9,9
4.5052e+07,275,180,180
4.50907e+07,679,302,302
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.52327e+07,2013,1066,1066
4.50201e+07,43,20,20
4.5017e+07,17,14,14
4.5461e+07,3980,1795,1786
4.52987e+07,2373,1232,1229
4.504e+07,238,94,94
4.50411e+07,216,109,109
4.50313e+07,132,80,80
4.50154e+07,9,5,5
4.50565e+07,344,194,194
4.50321e+07,179,34,34
4.50147e+07,2,2,2
4.50335e+07,148,91,91
4.5154e+07,1253,561,561
4.50146e+07,1,1,1
4.50309e+07,142,89,88
