Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
3.31534e+07,12,9,9
3.3202e+07,466,144,144
3.31523e+07,2,2,2
3.31522e+07,1,1,1
3.31528e+07,6,4,4
3.31582e+07,73,15,15
3.31522e+07,1,1,1
3.31686e+07,163,43,43
3.31588e+07,61,27,27
3.31871e+07,375,70,70
3.31533e+07,12,5,5
3.32348e+07,805,279,279
3.31563e+07,28,23,23
3.31523e+07,2,2,2
3.31553e+07,32,14,14
3.32708e+07,1224,422,421
3.31522e+07,1,1,1
3.31646e+07,118,40,40
3.33142e+07,1570,597,586
3.31961e+07,485,102,102
3.31525e+07,4,3,3
3.32105e+07,639,139,134
3.31535e+07,22,3,3
3.32001e+07,458,152,148
3.31525e+07,4,2,2
3.32031e+07,507,129,120
3.31522e+07,1,1,1
3.31578e+07,43,33,33
3.31522e+07,1,1,1
3.31528e+07,10,2,2
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31528e+07,6,6,6
3.31522e+07,1,1,1
3.3187e+07,411,40,40
3.31522e+07,1,1,1
3.31523e+07,2,2,2
3.31884e+07,337,143,143
3.31666e+07,143,41,41
3.31522e+07,1,1,1
3.31589e+07,56,23,23
3.31608e+07,79,34,34
3.31774e+07,255,68,68
3.31687e+07,144,57,57
3.31532e+07,10,5,5
3.31529e+07,9,3,3
3.31522e+07,1,1,1
3.31702e+07,198,65,65
3.31992e+07,406,158,158
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31546e+07,24,8,8
3.32842e+07,1324,378,377
3.31653e+07,117,36,36
3.31692e+07,154,61,61
3.31562e+07,31,23,23
3.32694e+07,1064,451,448
3.31524e+07,3,3,3
3.32773e+07,1248,406,406
3.31556e+07,27,19,19
3.31616e+07,94,37,37
3.32738e+07,1120,417,409
3.31548e+07,26,9,9
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31563e+07,40,11,11
3.31787e+07,246,108,108
3.3153e+07,8,8,8
3.31522e+07,1,1,1
3.31635e+07,115,29,29
3.31781e+07,285,49,46
3.31522e+07,1,1,1
3.31536e+07,14,6,6
3.31528e+07,7,6,6
3.3174e+07,248,44,44
3.31556e+07,44,8,8
3.31533e+07,11,5,5
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.3156e+07,49,6,6
3.31529e+07,9,4,4
3.32762e+07,1186,458,457
3.31978e+07,465,109,109
3.32013e+07,525,46,46
3.351e+07,3631,1290,1264
3.31547e+07,33,9,9
3.31522e+07,1,1,1
3.3155e+07,24,10,10
3.31565e+07,37,19,19
3.31572e+07,52,17,17
3.31553e+07,28,13,13
3.31557e+07,42,11,11
3.31617e+07,88,32,32
3.31612e+07,99,20,20
3.31539e+07,23,5,5
3.31529e+07,10,3,3
3.31523e+07,2,2,2
3.31579e+07,56,22,22
3.31565e+07,58,5,5
3.31522e+07,1,1,1
3.31778e+07,231,99,99
3.31949e+07,401,172,172
3.31545e+07,24,9,9
3.31637e+07,105,42,42
3.31522e+07,1,1,1
3.31575e+07,45,24,24
3.31522e+07,1,1,1
3.3155e+07,31,9,9
3.3153e+07,14,2,2
3.31565e+07,37,28,28
3.31649e+07,132,41,41
3.31523e+07,2,2,2
3.32054e+07,506,190,190
3.31532e+07,11,7,7
3.3153e+07,9,6,6
3.31522e+07,1,1,1
3.31525e+07,4,3,3
3.3216e+07,669,166,148
3.31591e+07,61,23,23
3.32107e+07,656,105,102
3.31742e+07,242,45,45
3.31787e+07,294,78,78
3.31524e+07,3,3,3
3.3211e+07,545,195,195
3.31522e+07,1,1,1
3.31927e+07,369,129,129
3.32044e+07,461,173,173
3.31673e+07,176,39,39
3.31862e+07,356,84,84
3.31881e+07,317,123,123
3.31522e+07,1,1,1
3.31564e+07,42,14,14
3.31522e+07,1,1,1
3.32325e+07,796,301,301
3.31529e+07,6,4,4
3.31845e+07,303,117,117
3.31522e+07,1,1,1
3.3155e+07,25,10,10
3.31547e+07,26,11,11
3.32182e+07,598,202,202
3.31522e+07,1,1,1
3.31527e+07,8,2,2
3.31522e+07,1,1,1
3.31523e+07,2,2,2
3.31968e+07,424,137,137
3.31639e+07,103,47,47
3.31546e+07,28,5,5
3.31564e+07,33,20,20
3.31532e+07,8,8,8
3.32562e+07,1037,408,391
3.31529e+07,6,6,6
3.31883e+07,330,128,128
3.32222e+07,668,226,226
3.31913e+07,371,117,117
3.31638e+07,118,32,32
3.31695e+07,165,50,50
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31568e+07,40,21,21
3.31583e+07,47,25,25
3.31552e+07,25,13,13
3.31542e+07,30,7,7
3.31827e+07,265,117,117
3.31648e+07,100,51,51
3.31534e+07,12,7,7
3.32556e+07,1015,428,427
3.3211e+07,564,212,212
3.31536e+07,13,8,8
3.31601e+07,75,30,30
3.31531e+07,10,4,4
3.3179e+07,267,64,64
3.31628e+07,98,41,41
3.316e+07,56,37,37
3.31986e+07,433,189,189
3.31522e+07,1,1,1
3.31525e+07,4,2,2
3.31527e+07,5,4,4
3.31607e+07,71,32,32
3.3194e+07,421,138,138
3.31525e+07,3,3,3
3.31682e+07,161,29,29
3.32606e+07,1112,389,388
3.31522e+07,1,1,1
3.31645e+07,129,51,51
3.31551e+07,33,6,6
3.31522e+07,1,1,1
3.31531e+07,9,5,5
3.32674e+07,1058,415,414
3.31557e+07,32,12,12
3.31523e+07,2,2,2
3.31522e+07,1,1,1
3.31594e+07,78,27,27
3.31552e+07,26,16,16
3.31563e+07,34,20,20
3.31598e+07,71,28,28
3.3197e+07,434,188,187
3.31588e+07,68,21,21
3.31522e+07,1,1,1
3.31573e+07,67,4,4
3.31563e+07,39,17,17
3.31602e+07,63,27,27
3.31592e+07,57,20,20
3.31553e+07,30,11,11
3.31536e+07,15,9,9
3.3185e+07,341,72,72
3.31658e+07,122,44,44
3.31538e+07,15,8,8
3.31522e+07,1,1,1
3.33369e+07,1977,837,837
3.31683e+07,214,17,17
3.31532e+07,14,3,3
3.31527e+07,9,2,2
3.31544e+07,21,21,21
3.31522e+07,1,1,1
3.31992e+07,473,136,133
3.31586e+07,55,29,29
3.31524e+07,3,3,3
3.31922e+07,395,112,112
3.31535e+07,16,4,4
3.33087e+07,1533,607,606
3.31529e+07,7,7,7
3.31523e+07,2,2,2
3.31548e+07,29,8,8
3.31997e+07,451,165,165
3.31626e+07,99,32,32
3.31522e+07,1,1,1
3.31549e+07,32,7,7
3.31522e+07,1,1,1
3.32524e+07,984,344,326
3.31522e+07,1,1,1
3.31526e+07,5,3,3
3.31565e+07,41,17,17
3.31559e+07,39,15,15
3.3173e+07,221,71,71
3.32376e+07,819,330,302
3.31522e+07,1,1,1
3.31555e+07,41,7,7
3.3154e+07,18,10,10
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31526e+07,6,3,3
3.3171e+07,185,58,58
3.31531e+07,10,5,5
3.3159e+07,72,34,34
3.31528e+07,8,4,4
3.31525e+07,4,2,2
3.31522e+07,1,1,1
3.31889e+07,314,94,94
3.3157e+07,43,25,25
3.31565e+07,49,11,11
3.31575e+07,54,16,16
3.31539e+07,19,7,7
3.32038e+07,639,56,56
3.31522e+07,1,1,1
3.31614e+07,100,29,29
3.31527e+07,6,4,4
3.31739e+07,190,91,91
3.31974e+07,504,147,147
3.31537e+07,18,7,7
3.31562e+07,27,19,19
3.31546e+07,25,9,9
3.31542e+07,21,12,12
3.31547e+07,29,9,9
3.31522e+07,1,1,1
3.31906e+07,361,148,148
3.32148e+07,561,255,255
3.32334e+07,885,252,249
3.31529e+07,11,3,3
3.31522e+07,1,1,1
3.31549e+07,21,14,14
3.31544e+07,18,8,8
3.31572e+07,62,8,8
3.31613e+07,103,17,17
3.32292e+07,753,299,296
3.316e+07,58,39,39
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.3166e+07,144,33,33
3.31928e+07,417,111,111
3.31751e+07,234,32,32
3.31522e+07,1,1,1
3.31585e+07,76,12,12
3.31571e+07,59,13,13
3.31539e+07,18,8,8
3.31548e+07,16,14,14
3.31525e+07,3,3,3
3.31531e+07,15,2,2
3.3156e+07,64,2,2
3.31995e+07,437,128,127
3.31523e+07,2,2,2
3.31639e+07,111,37,37
3.31631e+07,116,28,28
3.31533e+07,8,8,8
3.31526e+07,4,4,4
3.31525e+07,4,2,2
3.31538e+07,11,11,11
3.31528e+07,6,4,4
3.31769e+07,263,66,66
3.32094e+07,527,179,179
3.31892e+07,369,100,100
3.31548e+07,30,7,7
3.31584e+07,61,24,24
3.31524e+07,3,3,3
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31766e+07,262,72,71
3.31965e+07,512,85,85
3.31605e+07,84,36,36
3.31525e+07,3,3,3
3.31522e+07,1,1,1
3.3254e+07,973,390,389
3.31556e+07,34,16,16
3.31612e+07,82,35,35
3.32343e+07,723,272,271
3.31585e+07,58,21,21
3.31522e+07,1,1,1
3.3203e+07,486,180,180
3.31636e+07,105,37,37
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31925e+07,428,108,104
3.31531e+07,7,7,7
3.31621e+07,100,33,33
3.33515e+07,2125,567,566
3.31573e+07,68,6,6
3.31567e+07,49,15,15
3.31522e+07,1,1,1
3.31527e+07,6,5,5
3.32166e+07,772,129,126
3.31768e+07,240,47,47
3.31526e+07,4,4,4
3.31529e+07,9,4,4
3.32055e+07,574,177,177
3.31612e+07,90,25,25
3.31531e+07,11,4,4
3.31667e+07,147,52,52
3.31522e+07,1,1,1
3.31631e+07,117,24,24
3.31543e+07,17,13,13
3.31737e+07,187,92,92
3.31523e+07,2,2,2
3.31523e+07,2,2,2
3.31534e+07,10,7,7
3.31527e+07,6,6,6
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.32384e+07,888,248,246
3.31718e+07,222,45,45
3.31523e+07,2,2,2
3.31558e+07,25,14,14
3.31532e+07,9,7,7
3.31524e+07,2,2,2
3.317e+07,212,16,16
3.31671e+07,153,41,41
3.32319e+07,798,283,283
3.31535e+07,11,9,9
3.31893e+07,374,137,135
3.31544e+07,27,7,7
3.32513e+07,952,350,350
3.31524e+07,3,2,2
3.31523e+07,2,2,2
3.31525e+07,4,2,2
3.32437e+07,933,414,414
3.31933e+07,383,148,148
3.31558e+07,37,15,15
3.31546e+07,24,10,10
3.31598e+07,66,31,31
3.31627e+07,88,36,36
3.31969e+07,445,127,126
3.31569e+07,39,22,22
3.328e+07,1305,416,416
3.33844e+07,2077,955,951
3.31524e+07,2,2,2
3.31527e+07,7,2,2
3.31962e+07,378,128,128
3.31584e+07,46,34,34
3.31798e+07,241,96,96
3.31712e+07,174,52,52
3.31524e+07,2,2,2
3.31715e+07,174,64,64
3.3157e+07,64,4,4
3.31532e+07,10,5,5
3.31549e+07,26,8,8
3.31731e+07,244,34,34
3.3233e+07,795,238,238
3.31586e+07,86,19,19
3.33209e+07,1730,603,598
3.31522e+07,1,1,1
3.3157e+07,49,16,16
3.31526e+07,7,2,2
3.3258e+07,1019,310,307
3.31545e+07,25,7,7
3.31529e+07,8,5,5
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31541e+07,16,9,9
3.31641e+07,127,29,29
3.31675e+07,167,39,39
3.31528e+07,6,6,6
3.32475e+07,947,330,330
3.31522e+07,1,1,1
3.31525e+07,3,3,3
3.31522e+07,1,1,1
3.31531e+07,13,4,4
3.31523e+07,2,2,2
3.33634e+07,2151,837,833
3.31522e+07,1,1,1
3.31582e+07,53,24,24
3.31728e+07,199,63,63
3.31791e+07,271,45,45
3.31564e+07,56,7,7
3.31547e+07,34,11,11
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31604e+07,100,12,12
3.31539e+07,17,10,10
3.31637e+07,119,40,40
3.31522e+07,1,1,1
3.31529e+07,6,5,5
3.31578e+07,56,19,19
3.31799e+07,271,63,63
3.31534e+07,10,8,8
3.3155e+07,33,7,7
3.31548e+07,31,9,9
3.31564e+07,40,19,19
3.31629e+07,107,45,45
3.31877e+07,307,122,122
3.31546e+07,21,15,15
3.31524e+07,3,2,2
3.32614e+07,1143,394,394
3.31522e+07,1,1,1
3.31524e+07,3,3,3
3.32294e+07,864,268,259
3.31536e+07,12,7,7
3.31861e+07,302,131,131
3.31525e+07,3,2,2
3.31553e+07,29,18,18
3.31552e+07,26,14,14
3.31822e+07,298,88,88
3.31552e+07,29,12,12
3.31709e+07,155,63,63
3.31524e+07,3,3,3
3.32214e+07,685,288,288
3.35234e+07,3566,1465,1459
3.31575e+07,57,31,31
3.31528e+07,9,3,3
3.3156e+07,44,11,11
3.31525e+07,3,3,3
3.31575e+07,58,13,13
3.31522e+07,1,1,1
3.32268e+07,980,93,93
3.3178e+07,234,75,75
3.31536e+07,12,7,7
3.31535e+07,10,8,8
3.31522e+07,1,1,1
3.31529e+07,11,2,2
3.31535e+07,14,5,5
3.3212e+07,576,188,183
3.31526e+07,6,3,3
3.31523e+07,2,2,2
3.31556e+07,28,14,14
3.31525e+07,3,3,3
3.31592e+07,62,33,33
3.31563e+07,38,19,19
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31993e+07,468,174,174
3.3153e+07,10,3,3
3.31576e+07,55,15,15
3.31522e+07,1,1,1
3.31544e+07,18,15,15
3.31544e+07,25,5,5
3.32719e+07,1247,381,380
3.31544e+07,19,12,12
3.31613e+07,87,34,34
3.3167e+07,128,42,42
3.31671e+07,161,40,40
3.31523e+07,2,2,2
3.31738e+07,186,70,70
3.3159e+07,70,22,22
3.32826e+07,1224,402,389
3.317e+07,200,50,50
3.31977e+07,400,136,136
3.31616e+07,82,41,41
3.31598e+07,76,28,28
3.31522e+07,1,1,1
3.31534e+07,11,9,9
3.31555e+07,32,19,19
3.31666e+07,136,67,67
3.31577e+07,66,19,19
3.31545e+07,16,13,13
3.31568e+07,44,20,20
3.31523e+07,2,2,2
3.3157e+07,49,10,10
3.31568e+07,57,11,11
3.31759e+07,235,81,81
3.32905e+07,1276,532,532
3.31543e+07,20,9,9
3.31522e+07,1,1,1
3.31615e+07,97,19,19
3.31625e+07,97,43,43
3.31527e+07,7,2,2
3.31634e+07,94,52,52
3.3237e+07,833,372,372
3.31742e+07,207,85,85
3.31657e+07,112,50,50
3.32392e+07,887,329,326
3.35234e+07,3566,1465,1459
3.31761e+07,242,91,91
3.3171e+07,189,21,21
3.32765e+07,1388,384,383
3.31835e+07,281,120,120
3.31617e+07,93,30,30
3.31536e+07,11,8,8
3.31544e+07,23,12,12
3.31523e+07,2,2,2
3.31617e+07,97,22,22
3.31621e+07,99,32,32
3.31611e+07,92,30,30
3.31612e+07,75,42,42
3.31566e+07,39,15,15
3.31679e+07,166,58,58
3.32369e+07,907,277,271
3.31525e+07,3,3,3
3.31533e+07,10,6,6
3.31571e+07,43,13,13
3.31527e+07,6,3,3
3.32165e+07,621,221,207
3.31803e+07,266,101,101
3.31522e+07,1,1,1
3.31596e+07,69,24,24
3.31533e+07,10,7,7
3.33017e+07,1611,479,474
3.31522e+07,1,1,1
3.31583e+07,51,24,24
3.322e+07,638,231,231
3.31671e+07,154,42,42
3.31639e+07,125,29,29
3.32381e+07,853,250,250
3.31693e+07,194,27,27
3.31542e+07,18,11,11
3.31554e+07,25,15,15
3.31535e+07,10,10,10
3.31523e+07,2,2,2
3.31552e+07,37,11,11
3.34144e+07,2770,987,983
3.31558e+07,38,13,13
3.32322e+07,780,265,265
3.32196e+07,689,276,276
3.31525e+07,4,3,3
3.31528e+07,5,4,4
3.31523e+07,2,2,2
3.31676e+07,155,41,41
3.31588e+07,58,34,34
3.31612e+07,92,21,21
3.31618e+07,98,34,34
3.3163e+07,108,32,32
3.32369e+07,830,319,308
3.32479e+07,894,302,302
3.31734e+07,245,66,66
3.31587e+07,85,14,14
