Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.46137e+07,15,3,3
1.46151e+07,30,9,9
1.46127e+07,2,2,2
1.46141e+07,20,6,6
1.46128e+07,3,3,3
1.46128e+07,3,2,2
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46598e+07,524,187,186
1.46126e+07,1,1,1
1.46172e+07,44,25,25
1.46126e+07,1,1,1
1.46255e+07,131,40,40
1.46362e+07,207,85,85
1.46381e+07,283,57,57
1.46487e+07,353,141,141
1.46139e+07,18,7,7
1.46465e+07,307,153,153
1.46137e+07,15,3,3
1.46149e+07,22,11,11
1.46135e+07,10,4,4
1.46129e+07,3,3,3
1.46126e+07,1,1,1
1.46138e+07,19,4,4
1.46128e+07,2,2,2
1.46181e+07,61,15,15
1.46138e+07,11,10,10
1.47478e+07,1369,587,587
1.46126e+07,1,1,1
1.46131e+07,4,4,4
1.46126e+07,1,1,1
1.46267e+07,173,19,19
1.46129e+07,5,2,2
1.47599e+07,1567,621,621
1.46127e+07,2,2,2
1.4617e+07,54,8,8
1.46411e+07,293,95,95
1.46496e+07,326,132,132
1.46136e+07,10,8,8
1.46126e+07,1,1,1
1.46129e+07,3,3,3
1.46168e+07,51,8,8
1.46194e+07,67,14,14
1.46221e+07,133,5,5
1.46135e+07,10,4,4
1.46135e+07,9,7,7
1.46131e+07,4,4,4
1.46149e+07,25,11,11
1.46321e+07,211,38,38
1.46144e+07,24,7,7
1.46161e+07,43,12,12
1.46188e+07,50,34,34
1.46132e+07,6,5,5
1.46128e+07,3,3,3
1.46132e+07,6,4,4
1.46152e+07,22,16,16
1.46191e+07,61,23,23
1.46178e+07,55,13,13
1.46162e+07,30,14,14
1.46146e+07,17,10,10
1.46128e+07,3,3,3
1.46146e+07,17,14,14
1.46149e+07,28,4,4
1.47069e+07,1074,245,245
1.46199e+07,68,35,35
1.46126e+07,1,1,1
1.46173e+07,48,18,18
1.4628e+07,167,51,51
1.46136e+07,10,6,6
1.46133e+07,7,6,6
1.46212e+07,97,30,30
1.46145e+07,23,9,9
1.46149e+07,20,15,15
1.46162e+07,32,12,12
1.4633e+07,182,72,72
1.46217e+07,91,45,45
1.46193e+07,81,14,14
1.46129e+07,4,2,2
1.46126e+07,1,1,1
1.46195e+07,85,11,11
1.4616e+07,49,3,3
1.4614e+07,14,10,10
1.46163e+07,44,6,6
1.46148e+07,20,11,11
1.46144e+07,18,6,6
1.46138e+07,14,5,5
1.46128e+07,3,3,3
1.46129e+07,4,4,4
1.46133e+07,7,4,4
1.46126e+07,1,1,1
1.46137e+07,15,3,3
1.4662e+07,461,214,214
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.4613e+07,4,3,3
1.46126e+07,1,1,1
1.46156e+07,27,17,17
1.4628e+07,161,40,40
1.46138e+07,13,5,5
1.46126e+07,1,1,1
1.46149e+07,22,10,10
1.46126e+07,1,1,1
1.46233e+07,107,39,39
1.46132e+07,6,4,4
1.46137e+07,12,4,4
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46139e+07,17,4,4
1.46268e+07,136,55,55
1.46128e+07,3,3,3
1.46127e+07,2,2,2
1.46127e+07,2,2,2
1.46132e+07,7,4,4
1.46156e+07,33,11,11
1.46265e+07,138,61,61
1.46141e+07,15,6,6
1.46131e+07,6,4,4
1.46148e+07,21,9,9
1.46291e+07,207,6,6
1.46133e+07,10,3,3
1.46127e+07,2,2,2
1.46133e+07,8,5,5
1.46126e+07,1,1,1
1.46155e+07,32,14,14
1.46181e+07,59,26,26
1.46126e+07,1,1,1
1.46406e+07,354,2,2
1.4613e+07,6,2,2
1.46195e+07,115,9,9
1.46154e+07,22,15,15
1.46363e+07,217,67,67
1.46139e+07,13,12,12
1.46131e+07,5,5,5
1.46134e+07,9,4,4
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46136e+07,8,7,7
1.46193e+07,59,23,23
1.46164e+07,35,15,15
1.46139e+07,10,8,8
1.46137e+07,9,9,9
1.46133e+07,6,6,6
1.46126e+07,1,1,1
1.46128e+07,2,2,2
1.46126e+07,1,1,1
1.46513e+07,357,143,142
1.4613e+07,4,4,4
1.46168e+07,47,14,14
1.4613e+07,5,5,5
1.4615e+07,25,9,9
1.46175e+07,52,22,22
1.4617e+07,37,18,18
1.46128e+07,2,2,2
1.46142e+07,18,4,4
1.46126e+07,1,1,1
1.46137e+07,15,3,3
1.46133e+07,6,6,6
1.46135e+07,15,2,2
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46162e+07,44,4,4
1.46155e+07,42,4,4
1.46625e+07,514,176,171
1.46133e+07,6,5,5
1.47012e+07,823,399,395
1.46128e+07,2,2,2
1.46458e+07,331,105,105
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46137e+07,18,2,2
1.46137e+07,8,8,8
1.46127e+07,2,2,2
1.46137e+07,13,5,5
1.46126e+07,1,1,1
1.46127e+07,2,2,2
1.46135e+07,16,2,2
1.46128e+07,3,3,3
1.46133e+07,7,7,7
1.46144e+07,27,2,2
1.46126e+07,1,1,1
1.4617e+07,33,26,26
1.46132e+07,6,6,6
1.46126e+07,1,1,1
1.46186e+07,60,22,22
1.4625e+07,116,44,44
1.46143e+07,23,4,4
1.46139e+07,13,8,8
1.46126e+07,1,1,1
1.46131e+07,6,4,4
1.46129e+07,4,2,2
1.46129e+07,3,3,3
1.46152e+07,39,9,9
1.46169e+07,42,12,12
1.46128e+07,3,3,3
1.46547e+07,453,157,157
1.46127e+07,2,2,2
1.46165e+07,52,4,4
1.46149e+07,26,10,10
1.46214e+07,89,32,32
1.46266e+07,134,45,45
1.46132e+07,9,2,2
1.46177e+07,43,30,30
1.46178e+07,46,21,21
1.46234e+07,117,42,42
1.46132e+07,9,2,2
1.46128e+07,3,2,2
1.46135e+07,14,3,3
1.46126e+07,1,1,1
1.46159e+07,37,13,13
1.46134e+07,7,7,7
1.46137e+07,8,7,7
1.46126e+07,1,1,1
1.46221e+07,97,31,31
1.47112e+07,1072,364,361
1.46127e+07,2,2,2
1.46197e+07,66,34,34
1.46152e+07,32,9,9
1.46126e+07,1,1,1
1.46128e+07,3,3,3
1.46181e+07,60,16,16
1.46128e+07,3,3,3
1.46127e+07,2,2,2
1.46393e+07,255,119,118
1.46136e+07,10,6,6
1.46126e+07,1,1,1
1.46308e+07,169,63,63
1.46126e+07,1,1,1
1.46362e+07,238,81,81
1.46126e+07,1,1,1
1.46128e+07,2,2,2
1.46341e+07,218,71,71
1.4613e+07,5,2,2
1.46128e+07,2,2,2
1.46146e+07,17,8,8
1.46138e+07,18,4,4
1.4615e+07,30,10,10
1.46138e+07,16,3,3
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46194e+07,116,4,4
1.46128e+07,2,2,2
1.46128e+07,3,3,3
1.46153e+07,36,7,7
1.46229e+07,107,29,29
1.46479e+07,385,86,86
1.46233e+07,108,43,43
1.46128e+07,2,2,2
1.46128e+07,2,2,2
1.46131e+07,6,3,3
1.46159e+07,42,6,6
1.46127e+07,2,2,2
1.46143e+07,20,7,7
1.4614e+07,19,4,4
1.46133e+07,8,6,6
1.46195e+07,66,22,22
1.46177e+07,41,26,26
1.46139e+07,12,7,7
1.46128e+07,2,2,2
1.4642e+07,296,93,93
1.46148e+07,22,17,17
1.46128e+07,2,2,2
1.46141e+07,13,10,10
1.46126e+07,1,1,1
1.46228e+07,88,37,37
1.46224e+07,109,12,12
1.46207e+07,68,24,24
1.46143e+07,23,4,4
1.46304e+07,178,69,69
1.46126e+07,1,1,1
1.46134e+07,10,4,4
1.4615e+07,24,14,14
1.46176e+07,56,28,28
1.46438e+07,321,103,103
1.46149e+07,27,11,11
1.4615e+07,20,11,11
1.46167e+07,38,21,21
1.46169e+07,47,16,16
1.46389e+07,303,93,93
1.46322e+07,183,84,84
1.46136e+07,8,8,8
1.46126e+07,1,1,1
1.46166e+07,42,14,14
1.46185e+07,83,15,15
1.46163e+07,31,17,17
1.46338e+07,185,127,127
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46547e+07,408,162,162
1.46126e+07,1,1,1
1.46145e+07,27,3,3
1.46129e+07,3,3,3
1.46129e+07,3,3,3
1.46136e+07,10,6,6
1.46209e+07,105,7,7
1.46516e+07,386,148,146
1.46133e+07,9,3,3
1.46152e+07,27,14,14
1.46164e+07,41,30,30
1.46282e+07,158,51,51
1.46132e+07,10,2,2
1.46165e+07,40,18,18
1.46127e+07,2,2,2
1.46126e+07,1,1,1
1.46146e+07,34,2,2
1.46128e+07,2,2,2
1.46196e+07,81,15,15
1.46135e+07,11,4,4
1.46137e+07,10,7,7
1.4613e+07,4,4,4
1.46305e+07,178,55,55
1.46127e+07,2,2,2
1.4663e+07,490,158,158
1.46129e+07,3,3,3
1.46126e+07,1,1,1
1.46128e+07,2,2,2
1.46239e+07,92,47,47
1.46145e+07,16,8,8
1.46128e+07,3,2,2
1.46126e+07,1,1,1
1.46129e+07,4,2,2
1.46148e+07,30,6,6
1.46177e+07,57,10,10
1.46173e+07,49,26,26
1.46214e+07,88,44,44
1.4616e+07,42,12,12
1.46136e+07,7,7,7
1.46128e+07,3,3,3
1.46142e+07,26,4,4
1.46129e+07,4,2,2
1.46135e+07,8,8,8
1.46126e+07,1,1,1
1.46144e+07,22,6,6
1.46142e+07,16,8,8
1.46136e+07,10,5,5
1.46128e+07,3,3,3
1.46373e+07,225,91,91
1.46304e+07,186,53,53
1.46129e+07,3,3,3
1.46138e+07,14,4,4
1.46129e+07,3,3,3
1.46136e+07,11,5,5
1.46131e+07,4,4,4
1.46207e+07,66,36,36
1.46144e+07,20,7,7
1.46144e+07,23,10,10
1.46128e+07,2,2,2
1.46135e+07,7,7,7
1.46142e+07,15,12,12
1.46156e+07,34,21,21
1.46203e+07,95,12,12
1.46128e+07,3,3,3
1.46174e+07,51,14,14
1.46226e+07,83,48,48
1.46174e+07,48,20,20
1.46126e+07,1,1,1
1.46177e+07,50,18,18
1.46775e+07,618,244,244
1.46127e+07,2,2,2
1.46136e+07,8,8,8
1.46126e+07,1,1,1
1.46936e+07,1094,7,7
1.46157e+07,32,10,10
1.46132e+07,8,3,3
1.46216e+07,93,31,31
1.46127e+07,2,2,2
1.46608e+07,475,164,164
1.46135e+07,9,5,5
1.46158e+07,29,16,16
